Study ID,Author(s),Year,Title,Journal,Passed Filter 2,Scope,Genomic,Wild or Captive,Continent,Country,Latitude,Longitude,Avg or est points,Coordinate Notes,Coordinate System,Class,Latin Binomial,IUCN Latin Binomial,IUCN Status,Species Global North or South,Total Number of Authors,1st Author Origin Country,1st Author Global Divide,Last Author Origin Country,Last Author Global Divide,Collaboration,Number of Local Authors,Number of authors from Global North,Number of authors from Global South,delta_maximum_temperature_1960_2050,Paper Notes
313,"Dang, W.; Lu, H. L.; Wu, Q.; Gao, Y.; Qi, Q. Q.; Fan, H. D.",2018,Comparative transcriptional profiling analysis of the effect of heat waves during embryo incubation on the hatchlings of the Chinese soft-shelled turtle (Pelodiscus sinensis),ECOLOGY AND EVOLUTION,Yes,Level 4: Functional Variation - climate change,RNASeq,Wild,Asia,China,30.27611279,120.1581464,Yes,"Google Maps coordinates of Hangzhou, Zhejiang, China",DD,Reptilia,Pelodiscus sinensis,Pelodiscus sinensis,VU,Global South,6,China,Global South,China,Global South,Domestic,6,0,6,2.683507442,
313,"Dang, W.; Lu, H. L.; Wu, Q.; Gao, Y.; Qi, Q. Q.; Fan, H. D.",2018,Comparative transcriptional profiling analysis of the effect of heat waves during embryo incubation on the hatchlings of the Chinese soft-shelled turtle (Pelodiscus sinensis),ECOLOGY AND EVOLUTION,Yes,Level 3: Functional Variation - global change,RNASeq,Wild,Asia,China,30.27611279,120.1581464,Yes,"Google Maps coordinates of Hangzhou, Zhejiang, China",DD,Reptilia,Pelodiscus sinensis,Pelodiscus sinensis,VU,Global South,6,China,Global South,China,Global South,Domestic,6,0,6,2.683507442,
314,"Das, D.; Singh, S. K.; Bierstedt, J.; Erickson, A.; Galli, G. L. J.; Crossley, D. A.; Rhen, T.",2020,"Draft Genome of the Common Snapping Turtle, Chelydra serpentina, a Model for Phenotypic Plasticity in Reptiles",G3-GENES GENOMES GENETICS,Yes,Level 1: General genomic resources,Whole genome,Captive,NA,NA,NA,NA,NA,NA,NA,Reptilia,Chelydra serpentina,Chelydra serpentina,LC,,7,United States of America,,United States of America,,International,NA,7,0,NA,
314,"Das, D.; Singh, S. K.; Bierstedt, J.; Erickson, A.; Galli, G. L. J.; Crossley, D. A.; Rhen, T.",2020,"Draft Genome of the Common Snapping Turtle, Chelydra serpentina, a Model for Phenotypic Plasticity in Reptiles",G3-GENES GENOMES GENETICS,Yes,Level 1: General genomic resources,RNASeq,Captive,NA,NA,NA,NA,NA,NA,NA,Reptilia,Chelydra serpentina,Chelydra serpentina,LC,,7,United States of America,,United States of America,,International,NA,7,0,NA,
315,"Davalos-Dehullu, E.; Baty, S. M.; Fisher, R. N.; Scott, P. A.; Dolby, G. A.; Munguia-Vega, A.; Cortez, D.",2023,"Chromosome-Level Genome Assembly of the Blacktail Brush Lizard, Urosaurus nigricaudus, Reveals Dosage Compensation in an Endemic Lizard",GENOME BIOLOGY AND EVOLUTION,Yes,Level 1: General genomic resources,RNASeq,Wild,North America,Mexico,23.327969,-109.701693,NO,coords given,DD,Reptilia,Urosaurus nigricaudus,Urosaurus nigricaudus,LC,Global South,7,Mexico,Global South,Mexico,Global South,International,7,2,5,1.798610449,
315,"Davalos-Dehullu, E.; Baty, S. M.; Fisher, R. N.; Scott, P. A.; Dolby, G. A.; Munguia-Vega, A.; Cortez, D.",2023,"Chromosome-Level Genome Assembly of the Blacktail Brush Lizard, Urosaurus nigricaudus, Reveals Dosage Compensation in an Endemic Lizard",GENOME BIOLOGY AND EVOLUTION,Yes,Level 1: General genomic resources,RNASeq,Wild,North America,Mexico,18.531466,-98.9416673,NO,coords given,DD,Reptilia,Urosaurus bicarinatus,Urosaurus bicarinatus,LC,Global South,7,Mexico,Global South,Mexico,Global South,International,7,2,5,2.395138264,
315,"Davalos-Dehullu, E.; Baty, S. M.; Fisher, R. N.; Scott, P. A.; Dolby, G. A.; Munguia-Vega, A.; Cortez, D.",2023,"Chromosome-Level Genome Assembly of the Blacktail Brush Lizard, Urosaurus nigricaudus, Reveals Dosage Compensation in an Endemic Lizard",GENOME BIOLOGY AND EVOLUTION,Yes,Level 1: General genomic resources,Whole genome,Wild,North America,United States,32.617283,-116.735046,NO,coords given,DD,Reptilia,Urosaurus nigricaudus,Urosaurus nigricaudus,LC,Global North,7,Mexico,Global South,Mexico,Global South,International,7,2,5,2.286631346,
319,"De Cahsan, B.; Westbury, M. V.; Paraskevopoulou, S.; Drews, H.; Ott, M.; Gollmann, G.; Tiedemann, R.",2021,Genomic consequences of human-mediated translocations in margin populations of an endangered amphibian,EVOLUTIONARY APPLICATIONS,Yes,Level 2: Spatial genomic variation,RNASeq,Wild,Europe,Austria,48.208333,16.3725,Yes,centroid of Vienna,DD,Amphibia,Bombina bombina,Bombina bombina,LC,Global North,7,Germany,Global North,Germany,Global North,International,6,7,0,3.134375334,
319,"De Cahsan, B.; Westbury, M. V.; Paraskevopoulou, S.; Drews, H.; Ott, M.; Gollmann, G.; Tiedemann, R.",2021,Genomic consequences of human-mediated translocations in margin populations of an endangered amphibian,EVOLUTIONARY APPLICATIONS,Yes,Level 2: Spatial genomic variation,RNASeq,Wild,Europe,Germany,54.264,10.74382,Yes,"avg of the centroid of each specified sample site (no coords provided, just names)",DD,Amphibia,Bombina bombina,Bombina bombina,LC,Global North,7,Germany,Global North,Germany,Global North,International,6,7,0,2.610937834,
320,"de Carvalho, V. T.; Vogt, R. C.; Rojas, R. R.; Nunes, M. D.; de Fraga, R.; Avila, R. W.; Rhodin, A. G. J.; Mittermeier, R. A.; Hrbek, T.; Farias, I. P.",2022,Four in One: Cryptic Diversity in Geoffroy's Side-Necked Turtle Phrynops geoffroanus (Schweigger 1812) (Testudines: Pleurodira: Chelidae) in Brazil,DIVERSITY-BASEL,Yes,Level 2: Spatial genomic variation,GBS/RAD/target capture,Wild,South America,Argentina,-27.454583,-57.419831,NO,provided coords,DD,Reptilia,Phrynops geoffroanus,Phrynops geoffroanus,NA,Global South,10,Brazil,Global South,Brazil,Global South,International,0,2,8,1.631422877,
320,"de Carvalho, V. T.; Vogt, R. C.; Rojas, R. R.; Nunes, M. D.; de Fraga, R.; Avila, R. W.; Rhodin, A. G. J.; Mittermeier, R. A.; Hrbek, T.; Farias, I. P.",2022,Four in One: Cryptic Diversity in Geoffroy's Side-Necked Turtle Phrynops geoffroanus (Schweigger 1812) (Testudines: Pleurodira: Chelidae) in Brazil,DIVERSITY-BASEL,Yes,Level 2: Spatial genomic variation,GBS/RAD/target capture,Wild,South America,Brazil,-14.4308,-49.323,Yes,avg of all provided coords in Brazil,DD,Reptilia,Phrynops geoffroanus,Phrynops geoffroanus,NA,Global South,10,Brazil,Global South,Brazil,Global South,International,8,2,8,2.504340172,
322,"de Oca, A. N. M.; Barley, A. J.; Meza-Lázaro, R. N.; García-Vázquez, U. O.; Zamora-Abrego, J. G.; Thomson, R. C.; Leaché, A. D.",2017,Phylogenomics and species delimitation in the knob-scaled lizards of the genus Xenosaurus (Squamata: Xenosauridae) using ddRADseq data reveal a substantial underestimation of diversity,MOLECULAR PHYLOGENETICS AND EVOLUTION,Yes,Level 2: Spatial genomic variation,GBS/RAD/target capture,Wild,North America,Guatemala,15.8207,-91.3372,NO,provided coords,DD,Reptilia,Xenosaurus grandis,Xenosaurus grandis,VU,Global South,7,Mexico,Global South,United States of America,Global North,International,3,3,4,2.610242844,
322,"de Oca, A. N. M.; Barley, A. J.; Meza-Lázaro, R. N.; García-Vázquez, U. O.; Zamora-Abrego, J. G.; Thomson, R. C.; Leaché, A. D.",2017,Phylogenomics and species delimitation in the knob-scaled lizards of the genus Xenosaurus (Squamata: Xenosauridae) using ddRADseq data reveal a substantial underestimation of diversity,MOLECULAR PHYLOGENETICS AND EVOLUTION,Yes,Level 2: Spatial genomic variation,GBS/RAD/target capture,Wild,North America,Mexico,17.74573,-96.2173,Yes,avg of X. grandis provided coords,DD,Reptilia,Xenosaurus grandis,Xenosaurus grandis,VU,Global South,7,Mexico,Global South,United States of America,Global North,International,3,3,4,2.61527729,
322,"de Oca, A. N. M.; Barley, A. J.; Meza-Lázaro, R. N.; García-Vázquez, U. O.; Zamora-Abrego, J. G.; Thomson, R. C.; Leaché, A. D.",2017,Phylogenomics and species delimitation in the knob-scaled lizards of the genus Xenosaurus (Squamata: Xenosauridae) using ddRADseq data reveal a substantial underestimation of diversity,MOLECULAR PHYLOGENETICS AND EVOLUTION,Yes,Level 2: Spatial genomic variation,GBS/RAD/target capture,Wild,North America,Mexico,21.11,-99.1691,Yes,avg of X. mendozai provided coords,DD,Reptilia,Xenosaurus mendozai,Xenosaurus mendozai,NA,Global South,7,Mexico,Global South,United States of America,Global North,International,3,3,4,2.616318703,
322,"de Oca, A. N. M.; Barley, A. J.; Meza-Lázaro, R. N.; García-Vázquez, U. O.; Zamora-Abrego, J. G.; Thomson, R. C.; Leaché, A. D.",2017,Phylogenomics and species delimitation in the knob-scaled lizards of the genus Xenosaurus (Squamata: Xenosauridae) using ddRADseq data reveal a substantial underestimation of diversity,MOLECULAR PHYLOGENETICS AND EVOLUTION,Yes,Level 2: Spatial genomic variation,GBS/RAD/target capture,Wild,North America,Mexico,21.3969,-98.9675,NO,provided coords,DD,Reptilia,Xenosaurus newmanorum,Xenosaurus newmanorum,EN,Global South,7,Mexico,Global South,United States of America,Global North,International,3,3,4,2.594792604,
322,"de Oca, A. N. M.; Barley, A. J.; Meza-Lázaro, R. N.; García-Vázquez, U. O.; Zamora-Abrego, J. G.; Thomson, R. C.; Leaché, A. D.",2017,Phylogenomics and species delimitation in the knob-scaled lizards of the genus Xenosaurus (Squamata: Xenosauridae) using ddRADseq data reveal a substantial underestimation of diversity,MOLECULAR PHYLOGENETICS AND EVOLUTION,Yes,Level 2: Spatial genomic variation,GBS/RAD/target capture,Wild,North America,Mexico,16.85,-98.33,NO,provided coords,DD,Reptilia,Xenosaurus penai,Xenosaurus penai,LC,Global South,7,Mexico,Global South,United States of America,Global North,International,3,3,4,2.165451527,
322,"de Oca, A. N. M.; Barley, A. J.; Meza-Lázaro, R. N.; García-Vázquez, U. O.; Zamora-Abrego, J. G.; Thomson, R. C.; Leaché, A. D.",2017,Phylogenomics and species delimitation in the knob-scaled lizards of the genus Xenosaurus (Squamata: Xenosauridae) using ddRADseq data reveal a substantial underestimation of diversity,MOLECULAR PHYLOGENETICS AND EVOLUTION,Yes,Level 2: Spatial genomic variation,GBS/RAD/target capture,Wild,North America,Mexico,16.784,-96.1274,Yes,avg of X. phalaroanthereon provided coords,DD,Reptilia,Xenosaurus phalaroanthereon,Xenosaurus phalaroanthereon,DD,Global South,7,Mexico,Global South,United States of America,Global North,International,3,3,4,2.375694752,
322,"de Oca, A. N. M.; Barley, A. J.; Meza-Lázaro, R. N.; García-Vázquez, U. O.; Zamora-Abrego, J. G.; Thomson, R. C.; Leaché, A. D.",2017,Phylogenomics and species delimitation in the knob-scaled lizards of the genus Xenosaurus (Squamata: Xenosauridae) using ddRADseq data reveal a substantial underestimation of diversity,MOLECULAR PHYLOGENETICS AND EVOLUTION,Yes,Level 2: Spatial genomic variation,GBS/RAD/target capture,Wild,North America,Mexico,23.26437,-99.1603,Yes,avg of X. platyceps provided coords,DD,Reptilia,Xenosaurus platyceps,Xenosaurus platyceps,EN,Global South,7,Mexico,Global South,United States of America,Global North,International,3,3,4,2.646354437,
322,"de Oca, A. N. M.; Barley, A. J.; Meza-Lázaro, R. N.; García-Vázquez, U. O.; Zamora-Abrego, J. G.; Thomson, R. C.; Leaché, A. D.",2017,Phylogenomics and species delimitation in the knob-scaled lizards of the genus Xenosaurus (Squamata: Xenosauridae) using ddRADseq data reveal a substantial underestimation of diversity,MOLECULAR PHYLOGENETICS AND EVOLUTION,Yes,Level 2: Spatial genomic variation,GBS/RAD/target capture,Wild,North America,Mexico,18.29757,-97.3868,Yes,avg of X. rectocollaris provided coords,DD,Reptilia,Xenosaurus rectocollaris,Xenosaurus rectocollaris,LC,Global South,7,Mexico,Global South,United States of America,Global North,International,3,3,4,2.637326956,
322,"de Oca, A. N. M.; Barley, A. J.; Meza-Lázaro, R. N.; García-Vázquez, U. O.; Zamora-Abrego, J. G.; Thomson, R. C.; Leaché, A. D.",2017,Phylogenomics and species delimitation in the knob-scaled lizards of the genus Xenosaurus (Squamata: Xenosauridae) using ddRADseq data reveal a substantial underestimation of diversity,MOLECULAR PHYLOGENETICS AND EVOLUTION,Yes,Level 2: Spatial genomic variation,GBS/RAD/target capture,Wild,North America,Mexico,20.6399,-98.599,NO,provided coords,DD,Reptilia,Xenosaurus tzacualtipantecus,Xenosaurus tzacualtipantecus,NA,Global South,7,Mexico,Global South,United States of America,Global North,International,3,3,4,2.616492271,
325,"Demircan, T.; Hacibektasogu, H.; Sibai, M.; Fescioglu, E. C.; Altuntas, E.; Ozturk, G.; Suzek, B. E.",2020,Preclinical Molecular Signatures of Spinal Cord Functional Restoration: Optimizing the Metamorphic Axolotl (Ambystoma mexicanum) Model in Regenerative Medicine,OMICS-A JOURNAL OF INTEGRATIVE BIOLOGY,Yes,Level 1: General genomic resources,RNASeq,Captive,NA,NA,NA,NA,NA,NA,NA,Amphibia,Ambystoma mexicanum,Ambystoma mexicanum,CR,,,,,,,,NA,,,NA,
326,"Denton, R. D.; Morales, A. E.; Gibbs, H. L.",2018,Genome-specific histories of divergence and introgression between an allopolyploid unisexual salamander lineage and two ancestral sexual species,EVOLUTION,Yes,Level 1: General genomic resources,GBS/RAD/target capture,Wild,North America,United States,42.03842,-83.8959,Yes,avg of Kitty Todd Nature Preserve + A. laterate provided coords,DD,Amphibia,Ambystoma laterale,Ambystoma laterale,LC,Global North,3,United States of America,Global North,United States of America,Global North,Domestic,3,3,0,3.130903006,
326,"Denton, R. D.; Morales, A. E.; Gibbs, H. L.",2018,Genome-specific histories of divergence and introgression between an allopolyploid unisexual salamander lineage and two ancestral sexual species,EVOLUTION,Yes,Level 1: General genomic resources,GBS/RAD/target capture,Wild,North America,United States,40.44269,-82.7096,Yes,avg of A. jeffersonianum provided coords,DD,Amphibia,Ambystoma jeffersonianum,Ambystoma jeffersonianum,LC,Global North,3,United States of America,Global North,United States of America,Global North,Domestic,3,3,0,3.039410114,
330,"DeVos, T. B.; Bock, D. G.; Kolbe, J. J.",2023,Rapid introgression of non-native alleles following hybridization between a native Anolis lizard species and a cryptic invader across an urban landscape,MOLECULAR ECOLOGY,Yes,Level 2: Spatial genomic variation,GBS/RAD/target capture,Wild,North America,Cuba,23.14213,-82.2562,Yes,avg of La Habana + Guanabo,DD,Reptilia,Anolis porcatus,Anolis porcatus,LC,Global South,3,United States of America,Global North,United States of America,Global North,Domestic,3,3,0,1.825000167,
330,"DeVos, T. B.; Bock, D. G.; Kolbe, J. J.",2023,Rapid introgression of non-native alleles following hybridization between a native Anolis lizard species and a cryptic invader across an urban landscape,MOLECULAR ECOLOGY,Yes,Level 2: Spatial genomic variation,GBS/RAD/target capture,Wild,North America,United States,26.69446,-80.1942,Yes,"avg of Hobe Sound, FL + Parkland, FL",DD,Reptilia,Anolis carolinensis,Anolis carolinensis,LC,Global North,3,United States of America,Global North,United States of America,Global North,Domestic,3,3,0,1.920138359,
338,"Dinis, M.; Merabet, K.; Martinez-Freiria, F.; Steinfartz, S.; Vences, M.; Burgon, J. D.; Elmer, K. R.; Donaire, D.; Hinckley, A.; Fahd, S.; Joger, U.; Fawzi, A.; Slimani, T.; Velo-Anton, G.",2019,Allopatric diversification and evolutionary melting pot in a North African Palearctic relict: The biogeographic history of Salamandra algira,MOLECULAR PHYLOGENETICS AND EVOLUTION,Yes,Level 2: Spatial genomic variation,GBS/RAD/target capture,Wild,Africa,Algeria,36.75735,5.596765,Yes,avg all Algeria coords,DD,Amphibia,Salamandra algira,Salamandra algira,VU,Global South,14,Portugal,Global North,Portugal,Global North,International,6,10,4,NA,
338,"Dinis, M.; Merabet, K.; Martinez-Freiria, F.; Steinfartz, S.; Vences, M.; Burgon, J. D.; Elmer, K. R.; Donaire, D.; Hinckley, A.; Fahd, S.; Joger, U.; Fawzi, A.; Slimani, T.; Velo-Anton, G.",2019,Allopatric diversification and evolutionary melting pot in a North African Palearctic relict: The biogeographic history of Salamandra algira,MOLECULAR PHYLOGENETICS AND EVOLUTION,Yes,Level 2: Spatial genomic variation,GBS/RAD/target capture,Wild,Africa,Morocco,35.07315,-4.92185,Yes,avg all Morocco coords,DD,Amphibia,Salamandra algira,Salamandra algira,VU,Global South,14,Portugal,Global North,Portugal,Global North,International,6,10,4,2.705902576,
338,"Dinis, M.; Merabet, K.; Martinez-Freiria, F.; Steinfartz, S.; Vences, M.; Burgon, J. D.; Elmer, K. R.; Donaire, D.; Hinckley, A.; Fahd, S.; Joger, U.; Fawzi, A.; Slimani, T.; Velo-Anton, G.",2019,Allopatric diversification and evolutionary melting pot in a North African Palearctic relict: The biogeographic history of Salamandra algira,MOLECULAR PHYLOGENETICS AND EVOLUTION,Yes,Level 2: Spatial genomic variation,GBS/RAD/target capture,Wild,Europe,Spain,35.9,-5.377,Yes,avg all Spain coords shifted to nearest point in Spain,DD,Amphibia,Salamandra algira,Salamandra algira,VU,Global North,14,Portugal,Global North,Portugal,Global North,International,6,10,4,2.2265625,
339,"Dissanayake, D. S. B.; Holleley, C. E.; Hill, L. K.; O'Meally, D.; Deakin, J. E.; Georges, A.",2020,Identification of Y chromosome markers in the eastern three-lined skink (Bassiana duperreyi) using in silico whole genome subtraction,BMC GENOMICS,Yes,Level 1: General genomic resources,Whole genome,Wild,Oceania,Australia,-36.8756,146.5091,Yes,avg coords,DD,Reptilia,Bassiana duperreyi,Acritoscincus duperreyi,LC,Global North,6,Australia,Global North,Australia,Global North,Domestic,6,6,0,1.949305773,
340,"Dissanayake, D. S. B.; Holleley, C. E.; Sumner, J.; Melville, J.; Georges, A.",2022,Lineage diversity within a widespread endemic Australian skink to better inform conservation in response to regional-scale disturbance,ECOLOGY AND EVOLUTION,Yes,Level 2: Spatial genomic variation,GBS/RAD/target capture,Wild,Oceania,Australia,-36.70489477,146.2126616,Yes,avg coords,DD,Reptilia,Bassiana duperreyi,Acritoscincus duperreyi,LC,Global North,5,Australia,Global North,Australia,Global North,Domestic,5,5,0,1.93715179,
344,"Dobry, J.; Wapstra, E.; Stringer, E. J.; Gruber, B.; Deakin, J. E.; Ezaz, T.",2023,"Widespread chromosomal rearrangements preceded genetic divergence in a monitor lizard, Varanus acanthurus (Varanidae)",CHROMOSOME RESEARCH,Yes,Level 2: Spatial genomic variation,GBS/RAD/target capture,Wild,Oceania,Australia,-19.002124,137.999355,Yes,estimated centroid of Barkly Tablelands,DD,Reptilia,Varanus acanthurus,Varanus acanthurus,LC,Global North,6,Australia,Global North,Australia,Global North,Domestic,6,6,0,1.856077313,
345,"Dobry, J.; Zhu, Z. X.; Zhou, Q.; Wapstra, E.; Deakin, J. E.; Ezaz, T.",2023,Fixed Allele Differences Associated With the Centromere Reveal Chromosome Morphology and Rearrangements in a Reptile (Varanus acanthurus BOULENGER),MOLECULAR BIOLOGY AND EVOLUTION,Yes,Level 1: General genomic resources,GBS/RAD/target capture,Wild,Oceania,Australia,-19.002124,137.999355,Yes,estimated centroid of Barkly Tablelands,DD,Reptilia,Varanus acanthurus,Varanus acanthurus,LC,Global North,6,Australia,Global North,Australia,Global North,International,4,4,2,1.856077313,
346,"Dodge, T. O.; Farquharson, K. A.; Ford, C.; Cavanagh, L.; Schubert, K.; Schumer, M.; Belov, K.; Hogg, C. J.",2023,Genomes of two Extinct-in-the-Wild reptiles from Christmas Island reveal distinct evolutionary histories and conservation insights,MOLECULAR ECOLOGY RESOURCES,Yes,Level 1: General genomic resources,Whole genome,Captive,NA,NA,NA,NA,NA,NA,NA,Reptilia,Cryptoblepharus egeriae,Cryptoblepharus egeriae,EW,,,,,,,,NA,,,NA,"focal species extinct in the wild, endemic to Christmas Island"
346,"Dodge, T. O.; Farquharson, K. A.; Ford, C.; Cavanagh, L.; Schubert, K.; Schumer, M.; Belov, K.; Hogg, C. J.",2023,Genomes of two Extinct-in-the-Wild reptiles from Christmas Island reveal distinct evolutionary histories and conservation insights,MOLECULAR ECOLOGY RESOURCES,Yes,Level 1: General genomic resources,RNASeq,Captive,NA,NA,NA,NA,NA,NA,NA,Reptilia,Lepidodactylus listeri,Lepidodactylus listeri,EW,,,,,,,,NA,,,NA,"focal species extinct in the wild, endemic to Christmas Island"
349,"Dolinay, Matej; Nečas, Tadeáš; Zimkus, Breda M.; Schmitz, Andreas; Fokam, Eric B.; Lemmon, Emily Moriarty; Lemmon, Alan R.; Gvoždík, Václav",2021,Gene flow in phylogenomics: Sequence capture resolves species limits and biogeography of Afromontane forest endemic frogs from the Cameroon Highlands,Molecular phylogenetics and evolution,Yes,Level 2: Spatial genomic variation,GBS/RAD/target capture,Wild,Africa,Cameroon,7.252,12.06,NO,provided Cameroon coords(no Cameroon/Nigeria points confirmed to be in Cameroon),DD,Amphibia,Phrynobatrachus steindachneri,Phrynobatrachus steindachneri,CR,Global South,8,Czech Republic,Global North,Czech Republic,Global North,International,1,7,1,1.578646779,
349,"Dolinay, Matej; Nečas, Tadeáš; Zimkus, Breda M.; Schmitz, Andreas; Fokam, Eric B.; Lemmon, Emily Moriarty; Lemmon, Alan R.; Gvoždík, Václav",2021,Gene flow in phylogenomics: Sequence capture resolves species limits and biogeography of Afromontane forest endemic frogs from the Cameroon Highlands,Molecular phylogenetics and evolution,Yes,Level 2: Spatial genomic variation,GBS/RAD/target capture,Wild,Africa,Cameroon,6.326,10.75025,Yes,avg P. amieti CM coords,DD,Amphibia,Phrynobatrachus amieti,Phrynobatrachus amieti,NA,Global South,8,Czech Republic,Global North,Czech Republic,Global North,International,1,7,1,1.580903292,
349,"Dolinay, Matej; Nečas, Tadeáš; Zimkus, Breda M.; Schmitz, Andreas; Fokam, Eric B.; Lemmon, Emily Moriarty; Lemmon, Alan R.; Gvoždík, Václav",2021,Gene flow in phylogenomics: Sequence capture resolves species limits and biogeography of Afromontane forest endemic frogs from the Cameroon Highlands,Molecular phylogenetics and evolution,Yes,Level 2: Spatial genomic variation,GBS/RAD/target capture,Wild,Africa,Cameroon,6.208667,10.45333,Yes,avg P. njiomock coords,DD,Amphibia,Phrynobatrachus njiomock,Phrynobatrachus njiomock,CR,Global South,8,Czech Republic,Global North,Czech Republic,Global North,International,1,7,1,1.591318488,
349,"Dolinay, Matej; Nečas, Tadeáš; Zimkus, Breda M.; Schmitz, Andreas; Fokam, Eric B.; Lemmon, Emily Moriarty; Lemmon, Alan R.; Gvoždík, Václav",2021,Gene flow in phylogenomics: Sequence capture resolves species limits and biogeography of Afromontane forest endemic frogs from the Cameroon Highlands,Molecular phylogenetics and evolution,Yes,Level 2: Spatial genomic variation,GBS/RAD/target capture,Wild,Africa,Cameroon,6.0974,10.3482,Yes,avg P. jimzimkusi CM coords,DD,Amphibia,Phrynobatrachus jimzimkusi,Phrynobatrachus jimzimkusi,CR,Global South,8,Czech Republic,Global North,Czech Republic,Global North,International,1,7,1,1.619617343,
349,"Dolinay, Matej; Nečas, Tadeáš; Zimkus, Breda M.; Schmitz, Andreas; Fokam, Eric B.; Lemmon, Emily Moriarty; Lemmon, Alan R.; Gvoždík, Václav",2021,Gene flow in phylogenomics: Sequence capture resolves species limits and biogeography of Afromontane forest endemic frogs from the Cameroon Highlands,Molecular phylogenetics and evolution,Yes,Level 2: Spatial genomic variation,GBS/RAD/target capture,Wild,Africa,Nigeria,7.041,11.709,Yes,confirmed Cameroon/Nigeria points were in Nigeria (gmaps) and avgd,DD,Amphibia,Phrynobatrachus steindachneri,Phrynobatrachus steindachneri,CR,Global South,8,Czech Republic,Global North,Czech Republic,Global North,International,1,7,1,1.603993773,
349,"Dolinay, Matej; Nečas, Tadeáš; Zimkus, Breda M.; Schmitz, Andreas; Fokam, Eric B.; Lemmon, Emily Moriarty; Lemmon, Alan R.; Gvoždík, Václav",2021,Gene flow in phylogenomics: Sequence capture resolves species limits and biogeography of Afromontane forest endemic frogs from the Cameroon Highlands,Molecular phylogenetics and evolution,Yes,Level 2: Spatial genomic variation,GBS/RAD/target capture,Wild,Africa,Nigeria,7.098,11.055,NO,,DD,Amphibia,Phrynobatrachus amieti,Phrynobatrachus amieti,NA,Global South,8,Czech Republic,Global North,Czech Republic,Global North,International,1,7,1,1.620660305,
349,"Dolinay, Matej; Nečas, Tadeáš; Zimkus, Breda M.; Schmitz, Andreas; Fokam, Eric B.; Lemmon, Emily Moriarty; Lemmon, Alan R.; Gvoždík, Václav",2021,Gene flow in phylogenomics: Sequence capture resolves species limits and biogeography of Afromontane forest endemic frogs from the Cameroon Highlands,Molecular phylogenetics and evolution,Yes,Level 2: Spatial genomic variation,GBS/RAD/target capture,Wild,Africa,Nigeria,6.421,9.36,NO,,DD,Amphibia,Phrynobatrachus jimzimkusi,Phrynobatrachus jimzimkusi,CR,Global South,8,Czech Republic,Global North,Czech Republic,Global North,International,1,7,1,1.624132514,
350,"Domingos, Fabricius M. C. B.; Colli, Guarino R.; Lemmon, Alan; Lemmon, Emily Moriarty; Beheregaray, Luciano B.",2017,In the shadows: Phylogenomics and coalescent species delimitation unveil cryptic diversity in a Cerrado endemic lizard (Squamata: Tropidurus),Molecular phylogenetics and evolution,Yes,Level 1: General genomic resources,GBS/RAD/target capture,Wild,South America,Brazil,-16.9422,-49.0511,Yes,avg T. itambere,DD,Reptilia,Tropidurus itambere,Tropidurus itambere,LC,Global South,5,Australia,Global North,Australia,Global North,International,1,4,1,2.499132395,
350,"Domingos, Fabricius M. C. B.; Colli, Guarino R.; Lemmon, Alan; Lemmon, Emily Moriarty; Beheregaray, Luciano B.",2017,In the shadows: Phylogenomics and coalescent species delimitation unveil cryptic diversity in a Cerrado endemic lizard (Squamata: Tropidurus),Molecular phylogenetics and evolution,Yes,Level 1: General genomic resources,GBS/RAD/target capture,Wild,South America,Brazil,-7.43,-39.75,NO,,DD,Reptilia,Tropidurus hispidus,Tropidurus hispidus,LC,Global South,5,Australia,Global North,Australia,Global North,International,1,4,1,2.084895134,
350,"Domingos, Fabricius M. C. B.; Colli, Guarino R.; Lemmon, Alan; Lemmon, Emily Moriarty; Beheregaray, Luciano B.",2017,In the shadows: Phylogenomics and coalescent species delimitation unveil cryptic diversity in a Cerrado endemic lizard (Squamata: Tropidurus),Molecular phylogenetics and evolution,Yes,Level 1: General genomic resources,GBS/RAD/target capture,Wild,South America,Brazil,-13.45,-46.45,NO,,DD,Reptilia,Tropidurus oreadicus,Tropidurus oreadicus,LC,Global South,5,Australia,Global North,Australia,Global North,International,1,4,1,2.581250906,
350,"Domingos, Fabricius M. C. B.; Colli, Guarino R.; Lemmon, Alan; Lemmon, Emily Moriarty; Beheregaray, Luciano B.",2017,In the shadows: Phylogenomics and coalescent species delimitation unveil cryptic diversity in a Cerrado endemic lizard (Squamata: Tropidurus),Molecular phylogenetics and evolution,Yes,Level 1: General genomic resources,GBS/RAD/target capture,Wild,South America,Brazil,-14.83,-46.9,Yes,avg T. torquatus,DD,Reptilia,Tropidurus torquatus,Tropidurus torquatus,LC,Global South,5,Australia,Global North,Australia,Global North,International,1,4,1,2.565971851,
350,"Domingos, Fabricius M. C. B.; Colli, Guarino R.; Lemmon, Alan; Lemmon, Emily Moriarty; Beheregaray, Luciano B.",2017,In the shadows: Phylogenomics and coalescent species delimitation unveil cryptic diversity in a Cerrado endemic lizard (Squamata: Tropidurus),Molecular phylogenetics and evolution,Yes,Level 1: General genomic resources,GBS/RAD/target capture,Wild,South America,Brazil,-7.2,-62.9,NO,,DD,Reptilia,Tropidurus superciliosus,Uranoscodon superciliosus,LC,Global South,5,Australia,Global North,Australia,Global North,International,1,4,1,2.066320181,
